StudentId,P-104,P-12,P-140,P-141,P-142,P-143,P-145,P-146,P-147,P-148,P-149,P-150,P-151,P-152,P-153,P-154,P-155,P-156,P-157,P-158,P-159,P-160,P-161,P-162,P-175,P-176,P-177,P-178,P-218,P-219,P-220,P-221,P-222,P-223,P-224,P-225,P-226,P-227,P-228,P-229,P-230,P-231,P-232,P-233,P-234,P-235,P-236,P-237,P-238,P-239,P-24,P-240,P-241,P-246,P-247,P-276,P-277,P-278,P-279,P-280,P-33,P-45,P-50,P-58,P-7,P-8,P-85,P-88,DatumUpisa,SrednjaSkola,GodinaZavrsetka,NacinStudiranja,Diplomirao
16320,,8,,,,,5,5,5,5,5,,,,,,,,,,,,,,7,6,5,,7,6,7,5,6,,,5,5,5,5,,,,,,,,,,,,8,,,8,5,,,,,,,,,6,,,,,7/17/2018,Elektrotehnièka,2017/2018,DL,0
16321,,9,,,,,5,5,5,5,5,,,,,,,,,,,,,,7,5,5,,7,6,6,6,6,,,5,5,7,5,,,,,,,,,,,,8,,,9,5,,,,,,,,,8,,,,,7/17/2018,Elektrotehnièka,2017/2018,DL,0
16322,,8,,,,,7,5,6,6,6,5,,5,8,,,,5,,,,,,6,7,6,,7,7,6,9,7,,,9,8,8,,5,5,,,5,,,,,,,7,,,8,7,,,,,,,,10,7,,,,5,7/17/2018,Mašinska,2017/2018,Redovan samofinansirajuæi,0
16323,,7,,,,,8,8,10,6,10,10,,8,9,,,,7,,,,,,10,7,8,,8,6,8,6,9,,,8,7,6,,9,8,,,10,,,,,,,9,,,7,6,,,,,,,,9,6,,,,10,7/17/2018,Gimnazija,2017/2018,Redovan samofinansirajuæi,1
16324,,9,,,,,6,7,7,6,7,7,,7,9,,,,5,,,,,,6,8,6,,7,7,6,7,10,,,8,8,6,,8,10,,,10,,,,,,,10,,,10,6,,,,,,,,10,8,,,,10,7/17/2018,Gimnazija,2017/2018,Redovan samofinansirajuæi,0
16325,,8,,,,,6,8,5,6,5,5,,8,5,,,,5,,,,,,7,6,5,,7,8,6,6,8,,,7,6,7,,6,7,5,5,5,,,,,,,7,,,9,6,,,,,,,,5,6,,,,10,7/17/2018,Gimnazija,2017/2018,DL,0
16326,,10,,,,,8,6,6,8,10,8,,10,8,,,,5,,,,,,8,9,6,,8,8,8,8,9,,,6,7,6,,7,9,,,10,,,,,,,10,,,10,7,,,,,,,,10,8,,,,10,7/17/2018,Gimnazija,2017/2018,Redovan samofinansirajuæi,0
16327,,8,,,,,7,9,6,7,9,9,,9,8,,,,8,,,,,9,7,7,6,,8,8,7,9,9,,,8,8,7,,8,10,,,10,9,9,9,10,,7,8,9,,9,6,,,,,,,9,10,6,,,,10,7/17/2018,Gimnazija,2017/2018,DL,1
16328,,9,,,,,6,8,5,7,5,5,,5,5,,,,5,,,,,,8,7,5,,8,7,7,7,9,,,6,6,7,,5,5,5,5,5,,,,,,,9,,,10,6,,,,,,,,5,8,,,,5,7/17/2018,Gimnazija,2017/2018,DL,0
16329,,7,,,,,6,8,6,7,6,8,,7,7,,,,7,,,,,,10,6,6,,8,6,6,8,6,,,8,6,6,,7,9,,,10,,,,,,,8,,,7,7,,,,,,,,9,7,,,,10,7/17/2018,Gimnazija,2017/2018,DL,1
16330,,5,,,,,,,,,5,,,,,,,,,,,,,,5,5,,,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,5,,,,,7/17/2018,Mješovita srednja škola,2013/2014,DL,0
16331,,6,,,,,6,6,8,6,6,8,,7,7,,,,5,,,,,5,6,6,6,,7,8,8,6,6,,,6,7,7,,7,8,,,8,7,10,10,5,5,10,7,10,5,7,7,,,,,,,9,9,6,,,,10,7/18/2018,Medicinska,2017/2018,DL,0
16332,,7,,,,,6,7,7,7,6,8,,8,8,,,,8,,,,,,9,6,9,,8,6,6,6,6,,,9,6,6,,7,6,,,9,,,,,,,7,,,8,7,,,,,,,,8,8,,,,10,7/18/2018,Elektrotehnièka,2017/2018,DL,1
16333,,9,,,,,10,8,10,10,10,10,,8,10,,,,10,,,,,,9,8,8,,9,9,7,8,8,,,10,10,8,,9,10,,,10,,,,,,,10,,,10,10,,,,,,,,9,8,,,,10,7/18/2018,Gimnazija,2017/2018,Redovan samofinansirajuæi,1
16334,,7,,,,,8,6,8,10,8,10,,8,9,,,,8,,,,,5,7,7,8,,7,6,6,6,6,,,9,7,9,,9,9,,,9,10,10,9,8,5,10,8,10,5,7,7,,,,,,,10,10,6,,,,10,7/18/2018,Gimnazija,2017/2018,DL,0
16335,,9,,,,,8,6,6,9,6,9,,7,8,,,,5,,,,,,6,7,8,,7,9,7,6,7,,,8,7,6,,8,10,,,10,,,,,,,8,,,9,6,,,,,,,,10,9,,,,10,7/18/2018,Gimnazija,2017/2018,DL,0
16336,,7,,,,,7,6,9,9,6,9,,10,9,,,,8,,,,,,10,10,6,,9,7,8,8,9,,,8,8,7,,8,8,,,10,,,,,,,8,,,8,10,,,,,,,,10,6,,,,10,7/18/2018,Gimnazija,2017/2018,Redovan samofinansirajuæi,1
16337,,8,,,,,7,6,6,6,6,5,,8,8,,,,5,,,,,,8,6,6,,9,6,8,6,6,,,6,6,6,,7,9,,,9,,,,,,,9,,,10,7,,,,,,,,5,8,,,,10,7/18/2018,Gimnazija,2017/2018,DL,0
16338,,8,,,,,6,9,6,6,6,5,,6,6,,,,5,,,,,,6,7,6,,7,7,6,6,8,,,6,7,6,,6,8,5,5,5,,,,,,,8,,,9,6,,,,,,,,7,7,,,,5,7/18/2018,Ekonomska,2017/2018,Redovan samofinansirajuæi,0
16339,,7,,,,,8,7,6,7,6,8,,8,8,,,,5,,,,,,6,7,9,,8,9,8,10,10,,,7,10,7,,9,9,5,5,10,,,,,,,7,,,8,7,,,,,,,,10,7,,,,10,7/18/2018,Elektrotehnièka,2017/2018,Redovan samofinansirajuæi,0
16340,,5,,,,,,,,,5,,,,,,,,,,,,,,5,5,,,7,5,6,5,6,5,5,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,5,,,,,7/18/2018,Ekonomska,2017/18,DL,0
16341,,8,,,,,8,6,6,8,10,9,,8,7,,,,7,,,,,,10,7,8,,9,10,7,7,9,,,9,8,6,,8,6,,,9,,,,,,,9,,,8,8,,,,,,,,9,7,,,,10,7/18/2018,Gimnazija,2017/2018,Redovan samofinansirajuæi,1
16342,,6,,,,,6,6,6,7,8,5,,8,5,,,,5,,,,,,6,6,9,,9,6,7,7,6,,,6,7,6,,6,7,5,5,10,,,,,,,7,,,8,8,,,,,,,,7,6,,,,10,7/18/2018,Gimnazija,2017/2018,Vanredan,0
16343,,10,,,,,7,8,6,7,10,5,,7,8,,,,5,,,,,,10,8,7,,9,9,8,9,7,,,9,6,8,,9,8,5,5,10,,,,,,,10,,,10,10,,,,,,,,8,8,,,,10,7/18/2018,Medresa,2017/18,DL,0
16344,,8,,,,,6,6,5,6,8,5,,7,6,,,,5,,,,,,6,7,6,,8,6,7,7,6,,,6,7,7,,7,8,5,5,8,,,,,,,8,,,8,6,,,,,,,,7,6,,,,5,7/18/2018,Gimnazija,2017/2018,DL,0
16345,,6,,,,,7,8,7,7,9,9,,8,8,,,,5,,,,,,9,7,6,,7,6,7,7,7,,,10,7,7,,8,7,,,10,,,,,,,6,,,7,7,,,,,,,,9,6,,,,10,7/18/2018,Tehnièka,2017/2018,Redovan samofinansirajuæi,0
16348,,7,,,,,6,6,6,8,8,8,,6,8,,,,5,,,,,,6,6,6,,7,6,7,6,6,,,7,6,6,,5,9,,,8,,,,,,,6,,,6,7,,,,,,,,8,6,,,,10,7/18/2018,Tehnièka,2017/2018,DL,0
16349,,7,,,,,7,6,8,6,7,8,,8,8,,,,5,,,,,,6,8,6,,9,7,7,9,6,,,9,7,6,,8,8,,,8,,,,,,,8,,,7,6,,,,,,,,9,8,,,,10,7/18/2018,Tehnièka,2017/2018,DL,0
16350,,7,,,,,5,5,5,5,5,,,,,,,,,,,,,,7,5,5,,7,6,7,6,6,,,5,5,7,5,,,,,,,,,,,,7,,,7,5,,,,,,,,,6,,,,,7/18/2018,Medresa,2017/18,DL,0
16351,,5,,,,,,,,,5,,,,,,,,,,,,,,5,5,,,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,5,,,,,7/18/2018,Medicinska,2017/2018,DL,0
16352,,8,,,,,8,6,6,8,6,5,,7,7,,,,5,,,,,,8,7,8,,8,6,6,7,6,,,8,8,6,,5,6,,,9,,,,,,,7,,,6,7,,,,,,,,9,7,,,,10,7/18/2018,Gimnazija,2017/2018,DL,0
16353,,7,,,,,,,,,5,,,,,,,,,,,,,,6,5,,,7,6,7,6,9,5,5,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,6,,5,,,7/18/2018,Gimnazija,2017/2018,DL,0
16354,,8,,,,,7,8,6,6,10,5,,5,5,,,,5,,,,,,8,6,8,,9,6,6,6,7,,,7,5,6,,5,8,5,5,5,,,,,,,8,,,8,6,,,,,,,,5,7,,,,10,7/18/2018,Medresa,2017/2018,DL,0
16355,,6,,,,,,,,,5,,,,,,,,,,,,,,5,5,,,6,5,6,5,6,5,5,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,7,,,,,7/19/2018,Gimnazija,2017/18,DL,0
16356,,7,,,,,,,,,5,,,,,,,,,,,,,,5,5,,,9,5,6,5,6,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,6,,,,,7/18/2018,Gimnazija,2011/2012,Redovan samofinansirajuæi,0
16357,,8,,,,,7,6,7,7,6,5,,6,7,,,,5,,,,,,10,9,5,,8,6,8,6,6,,,6,6,6,,5,6,5,5,7,,,,,,,7,,,7,7,,,,,,,,10,7,,,,10,7/18/2018,Tehnièka,2017/2018,DL,0
16358,,8,,,,,7,6,6,6,7,5,,8,6,,,,5,,,,,,6,7,6,,8,6,6,8,7,,,7,7,6,,7,9,,,8,,,,,,,8,,,8,6,,,,,,,,7,8,,,,10,7/18/2018,Medresa,2017/2018,DL,0
16359,,7,,,,,7,5,6,5,6,5,,5,7,,,,5,,,,,,10,6,5,,9,6,8,7,9,,,7,6,6,,5,7,,,5,,,,,,,8,,,8,6,,,,,,,,9,7,,,,5,7/19/2018,Gimnazija,2017/18,Redovan samofinansirajuæi,0
16360,,7,,,,,7,6,5,7,5,5,,6,5,,,,5,,,,,,6,7,5,,6,6,6,7,7,,,7,6,6,,6,5,5,6,5,,,,,,,7,,,8,7,,,,,,,,5,7,,,,5,7/18/2018,Medresa,2017/2018,DL,0
16361,,9,,,,,,,,,5,,,,,,,,,,,,,,5,5,,,7,5,6,5,6,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,5,,,,,7/18/2018,Gimnazija,2017/2018,DL,0
16362,,9,,,,,9,6,7,10,9,7,,9,8,,,,8,,,,,,9,6,7,,7,7,7,7,8,,,7,7,7,,8,10,,,8,,,,,,,10,,,8,10,,,,,,,,10,8,,,,10,7/18/2018,Gimnazija,2017/2018,DL,1
16363,,7,,,,,6,5,6,7,6,5,,7,5,,,,5,,,,,,6,6,6,,8,6,8,6,8,,,5,7,7,,5,6,5,5,10,,,,,,,8,,,8,7,,,,,,,,7,7,,,,10,7/19/2018,Gimnazija,2017/18,DL,0
16364,,10,,,,,8,6,8,7,9,8,,8,10,,,,10,,,,,,10,8,10,,9,10,8,9,9,,,9,7,8,,8,10,,,10,,,,,,,10,,,10,10,,,,,,,,9,10,,,,10,7/18/2018,Gimnazija,2017/2018,DL,1
16365,,8,,,,,9,6,10,7,8,10,,8,7,,,,5,,,,,,10,6,10,,8,10,9,10,8,,,8,8,6,,10,7,,,10,,,,,,,9,,,9,6,,,,,,,,9,6,,,,10,7/18/2018,Ekonomska,2017/2018,Redovan samofinansirajuæi,0
16366,,6,,,,,6,5,5,6,5,,,,,,,,,,,,,,6,5,5,,8,6,7,6,9,,,5,9,6,,,,,,,,,,,,,7,,,8,5,,,,,,,,,6,,,,,7/19/2018,Mašinska,2017/18,Vanredan,0
16367,,5,,,,,,,,,5,,,,,,,,,,,,,,5,5,,,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,5,,,,,7/18/2018,Gimnazija,2017/2018,DL,0
16368,,8,,,,,7,9,8,8,7,9,,8,7,,,,6,,,,,,7,6,8,,7,8,7,10,6,,,6,8,8,,10,6,,,8,,,,,,,9,,,8,10,,,,,,,,9,6,,,,10,7/18/2018,Gimnazija,2017/2018,DL,1
16369,,8,,,,,6,6,8,8,8,5,,7,7,,,,5,,,,,,7,6,9,,7,6,8,6,7,,,8,8,6,,7,6,,,8,,,,,,,9,,,8,6,,,,,,,,8,6,,,,5,9/4/2018,Turistièko ugostiteljska,2017/18,DL,0
16370,,7,,,,,7,7,6,9,6,5,,8,8,,,,5,,,,,,10,6,7,,8,9,7,6,8,,,6,6,6,,7,7,,,10,,,,,,,6,,,7,6,,,,,,,,8,7,,,,10,7/18/2018,Elektrotehnièka,2017/2018,Redovan samofinansirajuæi,0
16371,,9,,,,,9,7,6,6,6,9,,7,8,,,,6,,,,,5,9,7,6,,6,7,7,8,8,,,8,8,7,,8,9,,,10,9,9,10,7,5,8,10,8,5,8,7,,,,,,,10,9,7,,,,10,7/18/2018,Gimnazija,2017/2018,Redovan samofinansirajuæi,0
16372,,6,,,,,5,5,5,5,5,,,,,,,,,,,,,,5,5,5,,7,5,5,5,6,5,5,5,5,5,5,,,,,,,,,,,,5,,,6,5,,,,,,,,,7,,5,,,7/19/2018,Tehnièka,2016/17,Vanredan,0
16374,,7,,,,,7,7,8,9,6,9,,6,9,,,,5,,,,,5,9,8,6,,8,6,8,6,6,,,8,6,6,,9,6,,6,,10,10,8,8,5,10,8,10,5,8,7,,,,,,,9,10,8,,,,10,7/18/2018,Gimnazija,2017/2018,DL,0
16375,,8,,,,,8,6,9,7,10,9,,8,8,,,,5,,,,,,10,6,7,,9,8,8,8,8,,,10,10,7,,8,7,,,7,,,,,,,8,,,7,7,,,,,,,,9,7,,,,10,9/4/2018,Gimnazija,2017/18,DL,0
16376,,6,,,,,,,,,5,,,,,,,,,,,,,,5,5,,,7,5,5,5,6,5,5,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,5,,,,,7/18/2018,Gimnazija,2017/2018,DL,0
16377,,6,,,,,,,,,5,,,,,,,,,,,,,,5,5,,,7,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,5,,,,,7/18/2018,Gimnazija,2017/2018,DL,0
16378,,5,,,,,,,,,5,,,,,,,,,,,,,,5,5,,,6,7,7,5,6,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,6,,,,,7/18/2018,Gimnazija,2017/2018,DL,0
16379,,8,,,,,8,6,6,10,6,8,,5,7,,,,5,,,,,,8,6,6,,8,7,8,8,6,,,10,8,6,,8,6,,,5,,,,,,,8,,,9,7,,,,,,,,10,9,,,,10,7/18/2018,Elektrotehnièka,2017/2018,DL,0
16380,,5,,,,,,,,,5,,,,,,,,,,,,,,5,5,,,7,5,5,5,6,5,5,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,5,,5,,,9/18/2018,Ekonomska,2017/2018,DL,0
16381,,6,,,,,,,,,5,,,,,,,,,,,,,,5,5,,,7,5,6,5,6,5,5,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,5,,,,,7/19/2018,Medicinska,2017/18,DL,0
16382,,7,,,,,6,7,6,6,8,5,,7,9,,,,5,,,,,5,10,6,6,,8,7,7,6,7,,,9,7,6,,8,7,,,10,7,5,5,5,5,5,9,5,5,8,6,,,,,,,8,5,8,,,,10,7/19/2018,Gimnazija,2017/18,DL,0
16383,,6,,,,,5,5,5,5,5,,,,,,,,,,,,,,7,5,5,,7,6,6,6,6,,,5,5,5,5,,,,,,,,,,,,5,,,6,5,,,,,,,,,6,,,,,7/19/2018,Medicinska,2017/2018,DL,0
16384,,8,,,,,8,6,7,8,6,8,,8,6,,,,8,,,,,5,10,6,7,,8,8,7,8,7,,,7,8,6,,9,8,,,10,10,10,8,9,5,8,9,9,5,9,6,,,,,,,9,8,7,,,,10,7/19/2018,Elektrotehnièka,2017/2018,Redovan samofinansirajuæi,0
16385,,8,,,,,9,8,6,7,6,10,,7,9,,,,6,,,,,,8,9,7,,8,8,6,8,9,,,10,7,8,,8,6,,,10,,,,,,,8,,,7,6,,,,,,,,9,7,,,,10,9/5/2018,Gimnazija,2017/18,DL,1
16386,,8,,,,,6,6,6,6,6,5,,7,7,,,,5,,,,,,6,8,7,,8,10,7,6,6,,,9,6,7,,7,8,5,5,5,,,,,,,7,,,8,6,,,,,,,,8,8,,,,10,7/19/2018,Gimnazija,2017/2018,DL,0
16387,,6,,,,,7,6,8,7,9,5,,8,8,,,,5,,,,,,6,6,9,,8,6,6,6,7,,,8,6,6,,9,5,5,5,5,,,,,,,7,,,7,6,,,,,,,,9,7,,,,5,7/19/2018,Gimnazija,2017/2018,DL,0
16388,,8,,,,,9,6,9,6,7,8,,8,8,,,,5,,,,,5,10,8,7,,8,6,6,6,8,,,9,7,8,,9,9,,,10,9,9,9,9,5,7,8,8,5,7,10,,,,,,,9,9,9,,,,10,7/19/2018,Elektrotehnièka,2017/18,Redovan samofinansirajuæi,0
16389,,8,,,,,6,7,7,6,6,5,,8,9,,,,5,,,,,,8,9,9,,9,10,7,8,8,,,9,9,8,,7,9,5,5,6,,,,,,,8,,,9,6,,,,,,,,9,8,,,,5,7/19/2018,Gimnazija,2017/2018,DL,0
16390,,8,,,,,,,,,5,,,,,,,,,,,,,,5,5,,,7,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,5,,5,,,7/19/2018,Elektrotehnièka,2017/2018,DL,0
16391,,7,,,,,6,6,6,7,7,5,,7,7,,,,5,,,,,,9,6,6,,8,6,6,6,7,,,6,6,6,,8,10,,,10,,,,,,,6,,,6,7,,,,,,,,9,6,,,,10,7/19/2018,Elektrotehnièka,2017/18,DL,0
16392,,10,,,,,8,6,8,6,9,8,,10,9,,,,8,,,,,,10,9,7,,8,8,9,8,8,,,9,8,8,,9,7,,,10,,,,,,,10,,,9,7,,,,,,,,10,9,,,,10,9/5/2018,Gimnazija,2017/18,DL,1
16393,,6,,,,,,,,,5,,,,,,,,,,,,,,5,5,,,6,5,7,5,5,5,5,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,5,,5,,,7/19/2018,Elektrotehnièka,2017/2018,DL,0
16394,,9,,,,,8,8,8,8,6,8,,8,10,,,,7,,,,,,10,6,7,,8,7,7,9,8,,,8,7,7,,8,7,,,10,,,,,,,8,,,9,7,,,,,,,,10,8,,,,10,7/19/2018,Gimnazija,2017/18,DL,1
16395,,5,,,,,,,,,5,,,,,,,,,,,,,,5,5,,,8,5,5,5,8,5,5,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,5,,,,,7/19/2018,Medicinska,2017/2018,DL,0
